sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;latitude;longitude;
1663764199;902255;1663764199;902287;1663764199;902227;57.71863752;11.958319553;
1663764199;952319;1663764199;952349;1663764199;952291;57.718637517;11.958319551;
1663764200;2498;1663764200;2527;1663764200;2472;57.718637514;11.958319549;
1663764200;52336;1663764200;52365;1663764200;52309;57.718637513;11.958319548;
1663764200;102254;1663764200;102284;1663764200;102227;57.718637512;11.958319548;
1663764200;152346;1663764200;152376;1663764200;152317;57.71863751;11.958319547;
1663764200;202238;1663764200;202268;1663764200;202212;57.718637508;11.958319545;
1663764200;252326;1663764200;252356;1663764200;252297;57.718637506;11.958319544;
1663764200;302292;1663764200;302319;1663764200;302264;57.718637504;11.958319542;
1663764200;352267;1663764200;352297;1663764200;352241;57.718637502;11.958319541;
1663764200;402276;1663764200;402306;1663764200;402248;57.7186375;11.95831954;
1663764200;452384;1663764200;452413;1663764200;452357;57.718637498;11.958319539;
1663764200;502342;1663764200;502372;1663764200;502316;57.718637496;11.958319538;
1663764200;552350;1663764200;552380;1663764200;552317;57.718637494;11.958319537;
1663764200;602284;1663764200;602314;1663764200;602258;57.718637492;11.958319535;
1663764200;652320;1663764200;652349;1663764200;652293;57.71863749;11.958319533;
1663764200;702336;1663764200;702366;1663764200;702310;57.718637488;11.958319532;
1663764200;752299;1663764200;752329;1663764200;752266;57.718637485;11.95831953;
1663764200;802321;1663764200;802351;1663764200;802295;57.718637483;11.958319529;
1663764200;852361;1663764200;852391;1663764200;852334;57.718637481;11.958319527;
1663764200;902272;1663764200;902300;1663764200;902245;57.718637478;11.958319526;
1663764200;952289;1663764200;952318;1663764200;952262;57.718637476;11.958319524;
1663764201;2431;1663764201;2460;1663764201;2405;57.718637473;11.958319523;
1663764201;52347;1663764201;52379;1663764201;52315;57.718637472;11.958319525;
1663764201;102285;1663764201;102314;1663764201;102259;57.718637471;11.958319527;
1663764201;152284;1663764201;152314;1663764201;152255;57.718637469;11.95831953;
1663764201;202244;1663764201;202272;1663764201;202219;57.718637468;11.958319532;
1663764201;252308;1663764201;252338;1663764201;252282;57.718637467;11.958319534;
1663764201;302269;1663764201;302299;1663764201;302243;57.718637465;11.958319536;
1663764201;352250;1663764201;352280;1663764201;352223;57.718637464;11.958319538;
1663764201;402284;1663764201;402314;1663764201;402259;57.718637463;11.95831954;
1663764201;452332;1663764201;452364;1663764201;452299;57.718637462;11.958319542;
1663764201;502271;1663764201;502298;1663764201;502243;57.71863746;11.958319545;
1663764201;552259;1663764201;552290;1663764201;552230;57.718637459;11.958319548;
